# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13]
200 100
20 1.95 0.461234 1.092 0 0 0 0 1.19367 1.24179 0 0 9.68905 0.097935
21 2.05 0.708348 1.20841 0 0 0 0 1.33741 1.35502 0 0 5.8918 0.112729
22 2.15 0.902463 1.37142 0.0691762 0.00499651 0 0 1.38171 1.47509 0 0 0.17682 0.113208
23 2.25 1.12831 1.59717 0.206683 0.024102 0 0 1.17198 1.58095 0.111032 0.000487037 0 0.113208
24 2.35 1.44589 1.90945 0.0775313 0.0336618 0 0 0.890559 1.6689 0.667331 0.00362407 0 0.113208
25 2.45 1.6004 2.27502 0.0366749 0.0384207 0 0 0.818662 1.75943 2.95615 0.01835 0 0.113208
26 2.55 1.70719 2.68567 0.600299 0.119441 0 0 0.606019 1.83299 4.70644 0.042837 0 0.113208
27 2.65 1.75703 3.13065 1.31319 0.312215 0 0 0.461011 1.89526 3.10569 0.0573556 0 0.113208
28 2.75 1.63624 3.57407 1.90713 0.624577 0 0 0.559737 1.97898 2.33642 0.0684796 0.573427 0.116957
29 2.85 1.4381 3.991 2.45022 1.0516 0 0 0.735787 2.09758 1.35745 0.0756111 0.939677 0.123082
30 2.95 1.23369 4.37246 2.67618 1.52878 0 0 0.7604 2.23485 1.19082 0.0837648 0.738937 0.127446
31 3.05 1.1791 4.76586 2.82928 2.03605 0 0 1.01823 2.43149 1.04659 0.0912685 1.02879 0.133728
32 3.15 1.09401 5.15673 2.60565 2.5015 0 0 1.32378 2.70239 0.848131 0.0974815 1.17574 0.143648
33 3.25 1.08049 5.58023 2.02627 2.88725 0 0 1.70563 3.07106 1.35809 0.108604 0.913672 0.151233
34 3.35 1.02382 6.00577 1.68472 3.2308 0 0 1.97067 3.51375 1.53204 0.120787 0.747242 0.1571
35 3.45 1.05374 6.47097 1.50035 3.56727 0 0 2.0898 3.99866 1.75486 0.134585 1.76045 0.172257
36 3.55 1.21276 7.0537 1.21764 3.87202 0 0 2.09719 4.50583 0.79172 0.141393 1.94313 0.191398
37 3.65 1.43174 7.77353 1.16136 4.18426 0 0 1.80922 4.96467 0.437624 0.145798 1.50148 0.205276
38 3.75 1.50447 8.55889 1.38049 4.57341 0 0 1.64191 5.40489 0.926592 0.156207 1.10053 0.216195
39 3.85 1.51348 9.38456 1.2961 4.94769 0 0 1.43015 5.80691 1.07803 0.1692 1.06151 0.227205
40 3.95 1.48848 10.2363 1.19596 5.30113 0 0 1.39055 6.22099 2.10141 0.195322 1.69191 0.247089
41 4.05 1.45334 11.1073 1.12682 5.64697 0 0 1.29597 6.63372 1.88169 0.218731 1.86683 0.27254
42 4.15 1.42062 12.008 1.04327 5.98549 0 0 1.17239 7.03065 1.91032 0.24222 1.14732 0.287397
43 4.25 1.37542 12.9278 1.06701 6.35685 0 0 1.16614 7.45082 1.21736 0.257133 1.36626 0.305255
44 4.35 1.36784 13.8774 1.09903 6.77992 0 0 1.17974 7.89418 1.62429 0.27888 1.67097 0.327397
45 4.45 1.35013 14.8625 1.00689 7.17894 0 0 1.20982 8.36636 1.33495 0.297715 1.55882 0.349078
46 4.55 1.36139 15.9066 1.22769 7.69583 0 0 1.19787 8.85451 1.07327 0.313791 1.23727 0.365867
47 4.65 1.28757 16.9365 1.28353 8.2548 0 0 1.22801 9.37146 0.795841 0.325994 0.617326 0.375632
48 4.75 1.26392 17.9877 1.43054 8.89795 0 0 1.3353 9.95868 0.841441 0.33928 1.22814 0.39797
49 4.85 1.27627 19.0888 1.35498 9.52961 0 0 1.30864 10.559 0.900921 0.354719 1.01846 0.415451
50 4.95 1.20552 20.1659 1.4343 10.2125 12.1635 0.254259 1.29887 11.1744 0.900855 0.371157 1.32229 0.440727
51 5.05 1.22305 21.3132 1.36891 10.8908 6.57243 0.388889 1.27958 11.8099 0.921497 0.388087 1.30166 0.465252
52 5.15 1.2316 22.5111 1.40267 11.6058 5.21446 0.493148 1.22319 12.4447 0.892876 0.405381 0.836289 0.481541
53 5.25 1.23569 23.766 1.36804 12.3318 4.79152 0.586852 1.19419 13.0847 0.890225 0.424463 0.815267 0.496922
54 5.35 1.24907 25.086 1.28994 13.0438 4.86541 0.68 1.17111 13.7381 0.964421 0.44527 0.87044 0.513609
55 5.45 1.19543 26.3983 1.15326 13.6949 5.22373 0.777963 1.23262 14.4524 0.814117 0.463644 0.940771 0.532051
56 5.55 1.19809 27.7557 1.13281 14.3664 7.81904 0.921111 1.20245 15.1744 0.695206 0.479259 0.837661 0.549465
57 5.65 1.19218 29.1433 1.16164 15.0815 4.29014 1 1.14603 15.8851 0.832673 0.498637 0.506239 0.560912
58 5.75 1.15075 30.527 1.07917 15.7695 0 1 1.13832 16.6143 0.788169 0.516902 0.636756 0.577037
59 5.85 1.0719 31.8715 0.971412 16.4058 0 1 1.10062 17.3455 0.672325 0.533181 0.367445 0.58718
60 5.95 1.09481 33.297 0.990399 17.0843 0 1 1.10388 18.1023 0.660046 0.550763 0.318351 0.595825
61 6.05 1.12501 34.81 0.983749 17.7854 0 1 1.07284 18.8668 0.646242 0.568044 0.427858 0.607911
62 6.15 1.11361 36.3583 0.898729 18.4409 0 1 1.06749 19.6574 0.575029 0.583469 0.604947 0.625751
63 6.25 1.09209 37.9315 0.933514 19.1571 0 1 1.03461 20.4492 0.631351 0.600954 0.599106 0.643131
64 6.35 1.05078 39.4971 1.03576 19.9756 0 1 1.02379 21.2513 0.595575 0.618248 0.750474 0.665213
65 6.45 1.0488 41.1152 0.971136 20.7726 0 1 1.01987 22.0832 0.763716 0.641598 0.880893 0.693997
66 6.55 1.05955 42.794 0.970589 21.5914 0 1 1.01209 22.9339 0.647602 0.662344 0.855913 0.721733
67 6.65 1.06412 44.5289 0.977363 22.4478 0 1 1.0312 23.8295 0.701458 0.687217 0.786234 0.747942
68 6.75 1.05708 46.3009 1.0478 23.3941 0 1 1.0537 24.7676 0.829321 0.717717 0.888441 0.779525
69 6.85 1.02602 48.0547 1.06629 24.383 0 1 1.03851 25.7189 0.862082 0.749287 0.851693 0.809486
70 6.95 1.03565 49.884 1.08176 25.4211 0 1 1.00521 26.6673 1.05862 0.789611 0.821299 0.838613
71 7.05 1.01325 51.7343 1.06395 26.4704 0 1 0.994088 27.6371 0.9464 0.825604 0.923353 0.873071
72 7.15 1.00161 53.6228 1.08113 27.5523 0 1 1.01284 28.6503 0.999795 0.864076 1.16982 0.919305
73 7.25 1.00382 55.5696 1.07948 28.6549 0 1 1.0315 29.7124 1.08157 0.906261 1.22887 0.966992
74 7.35 0.992648 57.55 1.07472 29.7836 0 1 1.01689 30.7875 1.08583 0.949804 1.25619 1.01739
75 7.45 1.00995 59.6219 1.07886 30.9543 0 1 1.0508 31.9279 1.30436 1.00396 1.09213 1.06372
76 7.55 1.02034 61.7754 1.07131 32.1411 0 1 1.01763 33.0547 1.22226 1.05501 1.28899 1.11916
77 7.65 0.985783 63.9043 1.10335 33.3937 0 1 1.02993 34.2312 1.26097 1.10852 1.28142 1.17526
78 7.75 0.9781 66.0693 1.03737 34.599 0 1 1.04163 35.4596 1.30879 1.16626 1.12549 1.22513
79 7.85 0.997937 68.3296 1.02423 35.8234 0 1 1.01927 36.6902 1.28848 1.22456 1.08212 1.27467
80 7.95 1.00103 70.6532 1.03364 37.0896 0 1 1.01196 37.941 1.12105 1.27614 1.23157 1.33246
81 8.05 0.996949 73.0384 0.961997 38.2975 0 1 1.03296 39.2522 1.1788 1.33317 1.07537 1.38081
82 8.15 1.00123 75.4972 0.986893 39.5787 0 1 1.01136 40.5613 1.18818 1.39175 1.02647 1.42666
83 8.25 0.979441 77.9403 1.01822 40.9392 0 1 1.00847 41.8915 1.27751 1.45681 1.11965 1.48207
84 8.35 0.971993 80.4208 0.978925 42.2624 0 1 0.987226 43.2338 1.23289 1.52009 1.23505 1.54522
85 8.45 0.958023 82.94 0.938718 43.561 0 1 0.992762 44.6157 1.33891 1.59204 1.15828 1.60747
86 8.55 0.974492 85.5767 0.973455 44.9464 0 1 0.959299 45.9745 1.27907 1.66212 1.12419 1.6684
87 8.65 0.973271 88.2684 1.00013 46.406 0 1 0.943523 47.34 1.19868 1.72784 1.09572 1.72902
88 8.75 0.945777 90.9359 0.935645 47.795 0 1 0.938553 48.7389 1.0643 1.78542 1.19405 1.7981
89 8.85 0.942403 93.6529 0.947181 49.2491 0 1 0.948308 50.1927 1.07182 1.84607 0.948282 1.85427
90 8.95 0.957321 96.4738 0.911571 50.6788 0 1 0.927533 51.6462 1.09057 1.90854 0.974482 1.91102
91 9.05 0.93845 99.2864 0.894201 52.0983 0 1 0.941658 53.1543 1.05878 1.97144 1.00707 1.97126
92 9.15 0.935717 102.155 0.912749 53.5933 0 1 0.959953 54.7267 1.04658 2.03575 0.852141 2.02467
93 9.25 0.944395 105.138 0.960307 55.1942 0 1 0.939383 56.298 1.11563 2.1058 0.945374 2.08513
94 9.35 0.941396 108.189 0.941952 56.7885 0 1 0.913092 57.8594 1.04079 2.17246 1.07365 2.15327
95 9.45 0.940724 111.294 0.864979 58.2925 0 1 0.913904 59.4547 1.05626 2.24069 1.27952 2.23874
96 9.55 0.929976 114.419 0.895048 59.8917 0 1 0.908393 61.0753 1.04553 2.30956 1.15007 2.31501
97 9.65 0.901532 117.502 0.926622 61.5954 0 1 0.894598 62.6969 0.975131 2.37547 1.04018 2.38422
98 9.75 0.901492 120.653 0.936922 63.3366 0 1 0.905637 64.3765 0.974372 2.44376 0.953488 2.44998
99 9.85 0.915272 123.926 0.977511 65.194 0 1 0.908523 66.0993 0.97735 2.51428 0.897094 2.51255
100 9.95 0.907677 127.232 0.90534 66.9532 0 1 0.918132 67.8799 0.950302 2.58415 0.950325 2.57946
600 100
1 0.05 0 0 0 0 0 0 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0 0.294849 0.00369444 0 0 0 0
10 0.95 0 0 0 0 0 0 53.0719 0.923022 0 0 0 0
11 1.05 0 0 0 0 0 0 3.19358 0.998628 0 0 0 0
12 1.15 0 0 0 0 0 0 0.0449327 1 0 0 0 0
13 1.25 0 0 0 0 0 0 0 1 0 0 0 0
14 1.35 0.0704912 0.0041963 0 0 0 0 0 1 0 0 0 0
15 1.45 5.76871 0.419444 0 0 0 0 0 1 0 0 0 0
16 1.55 5.10555 0.886889 0 0 0 0 0.000663282 1.00004 0 0 3.1586 0.00645702
17 1.65 0.417609 0.934644 0 0 0 0 0.180548 1.01125 0 0 24.6887 0.0581062
18 1.75 0.210444 0.961267 0 0 0 0 0.570034 1.05043 0 0 22.5633 0.106052
19 1.85 0.308737 1.00239 0 0 0 0 1.0603 1.12879 0 0 3.29157 0.113208
20 1.95 0.433957 1.06656 0 0 0 0 1.30083 1.23147 0 0 0 0.113208
21 2.05 0.634763 1.1732 0 0 0 0 1.68866 1.36934 0 0 0 0.113208
22 2.15 0.827504 1.3243 0 0 0 0 1.73747 1.51923 0 0 0 0.113208
23 2.25 1.15805 1.5529 0 0 0 0 1.08632 1.62102 0 0 0 0.113208
24 2.35 1.65285 1.89894 0 0 0 0 0.746782 1.69587 1.30002 0.00599074 0 0.113208
25 2.45 1.97334 2.33627 0.00761958 0.00106219 0 0 0.457252 1.74736 7.71099 0.0405556 0 0.113208
26 2.55 1.99554 2.80919 0.239966 0.0363732 0 0 0.441384 1.80356 4.59085 0.0615056 0 0.113208
27 2.65 1.71311 3.24509 0.74847 0.149888 0 0 0.370625 1.85469 1.37566 0.0685074 0 0.113208
28 2.75 1.49522 3.65403 1.81577 0.445653 0 0 0.419704 1.91874 0.458845 0.0710907 0.12083 0.114004
29 2.85 1.2597 4.02249 2.94425 0.94847 0 0 0.477007 1.99858 0.604409 0.074687 0.641485 0.11841
30 2.95 1.11351 4.36972 3.29558 1.51885 0 0 0.76692 2.13685 1.03756 0.0819093 0.540893 0.122065
31 3.05 0.92522 4.68776 3.91062 2.20066 0 0 1.12854 2.3525 0.961769 0.0889056 0.594782 0.126027
32 3.15 0.956576 5.04319 2.65491 2.68229 0 0 1.52686 2.65866 1.09507 0.0966833 1.29588 0.135493
33 3.25 1.07481 5.46559 1.8759 3.04305 0 0 1.98201 3.07509 1.50416 0.107804 0.99848 0.14376
34 3.35 1.07995 5.91364 1.15282 3.2872 0 0 2.29731 3.58031 1.04296 0.116231 0.63641 0.149235
35 3.45 1.146 6.4209 0.950621 3.51549 0 0 2.23072 4.09035 0.732403 0.122531 0.760909 0.155894
36 3.55 1.29111 7.02743 1.07485 3.78713 0 0 2.06062 4.58813 0.585851 0.127976 1.50295 0.170129
37 3.65 1.39537 7.72257 1.21959 4.11524 0 0 1.64337 5.01434 0.591989 0.133806 1.05685 0.181349
38 3.75 1.63432 8.57776 1.33098 4.48855 0 0 1.49159 5.42153 0.856488 0.143493 1.18285 0.193997
39 3.85 1.62795 9.46569 1.40037 4.88965 0 0 1.31876 5.79877 1.24632 0.158185 1.42045 0.209357
40 3.95 1.67211 10.4204 1.28885 5.27136 0 0 1.28082 6.18597 1.8703 0.180381 1.58942 0.227844
41 4.05 1.45811 11.289 1.16953 5.63563 0 0 1.17308 6.56435 1.8792 0.203207 2.75056 0.261583
42 4.15 1.39329 12.167 1.01121 5.9729 0 0 1.18626 6.96632 1.5727 0.223578 1.87363 0.284773
43 4.25 1.27422 13.0241 0.894308 6.28745 0 0 1.19048 7.39261 1.41313 0.242015 1.1268 0.299815
44 4.35 1.29459 13.9308 1.16095 6.72901 0 0 1.26501 7.86796 1.64383 0.264398 1.72456 0.323159
45 4.45 1.25791 14.8568 1.11308 7.16278 0 0 1.26449 8.3601 1.71087 0.288281 1.80953 0.3487
46 4.55 1.28758 15.8506 1.18867 7.65741 0 0 1.30572 8.88651 1.38393 0.309207 0.862129 0.36153
